"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 29 03:51:16 UTC 2025","Mon Dec 29 03:51:35 UTC 2025","18812","Upfunda Automation Suite","All Tests","org.upfunda.tests.TestStudentSignUp","org.upfunda.tests.TestStudentSignUp","studentSignupFlow","studentSignupFlow",""
"passed","Mon Dec 29 03:51:36 UTC 2025","Mon Dec 29 03:51:40 UTC 2025","4720","Upfunda Automation Suite","All Tests","org.upfunda.tests.TestStudentNavigation","org.upfunda.tests.TestStudentNavigation","loginStudentAndValidateDashboardAndWorksheets","Login as Student, validate welcome message, and verify worksheets sections","Verifies student login, dashboard load, welcome message, and worksheets sections"
